,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
0,2,Bachelor of Science,F,School of Science,Residences,1,1,2,2.0
1,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,1,2,2.0
2,2,Bachelor of Science,M,School of Science,Halls,1,2,2,2.0
3,2,Bachelor of Engineering,M,School of Engineering,Halls,4,7,1,1.0
4,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,3,4,2,2.0
5,1,Bachelor of Science,F,School of Science,Residential Colleges,2,2,3,3.0
6,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,2,2.0
7,2,Bachelor of Computing,M,School of Computing,Halls,3,2,2,2.0
8,3,Bachelor of Computing,M,School of Computing,Halls,2,5,2,1.0
9,2,Bachelor of Science,F,School of Science,Halls,1,5,2,2.0
10,2,Bachelor of Science,F,School of Science,Out of Campus,3,4,2,2.0
11,2,Bachelor of Science,M,School of Science,Halls,2,4,2,3.0
12,3,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,6,2,2.0
13,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,5,1,2.0
14,2,Bachelor of Engineering,M,School of Engineering,Residences,1,1,3,3.0
16,3,Bachelor of Business Admin,M,School of Business School,Halls,2,4,2,2.0
17,3,Bachelor of Engineering,F,School of Engineering,Residences,2,3,1,2.0
18,4,Bachelor of Engineering,M,School of Engineering,Halls,1,5,2,3.0
19,1,Bachelor of Engineering,M,School of Engineering,Halls,0,2,2,2.0
20,2,Bachelor of Science (SDE),F,School of Design & Environment,Halls,3,4,2,2.0
21,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
22,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,1.0
24,1,Bachelor of Arts,F,School of Arts & Social Science,Residences,1,4,2,0.0
26,4,Bachelor of Science,F,School of Science,Halls,3,4,2,2.0
28,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,4,2,2.0
30,3,Bachelor of Engineering,F,School of Engineering,Residences,3,4,2,3.0
31,3,Bachelor of Science (Pharmacy),M,School of Science,Halls,0,4,2,2.0
32,4,Bachelor of Science,F,School of Science,Halls,2,6,1,2.0
33,4,Bachelor of Science,M,School of Science,Halls,3,2,3,2.0
34,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,2,2,2.0
36,2,Bachelor of Science,M,School of Science,Out of Campus,2,2,2,2.0
37,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Residential Colleges,1,4,3,2.0
39,3,Bachelor of Engineering,F,School of Engineering,Residential Colleges,1,1,2,2.0
40,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
41,3,Bachelor of Music,F,School of Conservatory of Music,Halls,0,1,2,2.0
42,3,Bachelor of Science,F,School of Science,Out of Campus,1,7,2,2.0
43,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
44,1,Bachelor of Engineering,M,School of Engineering,Halls,1,2,2,3.0
46,1,Bachelor of Business Admin,M,School of Business School,Halls,3,1,2,3.0
47,4,Bachelor of Science,F,School of Science,Out of Campus,3,2,2,2.0
48,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,3,7,2,2.0
49,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
50,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,2,3.0
51,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,3,1,2,2.0
52,4,Bachelor of Science,M,School of Science,Halls,1,3,1,0.0
53,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,6,1,1.0
54,3,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,2.0
55,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,7,2,2.0
56,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,1,2.0
57,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
58,4,Bachelor of Engineering,F,School of Engineering,Halls,4,3,2,2.0
59,1,Bachelor of Engineering,M,School of Engineering,Residences,3,4,2,2.0
60,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,1,2.0
61,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
62,1,Bachelor of Science,F,School of Science,Out of Campus,1,5,0,2.0
63,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,2,3,2.0
64,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,3,3.0
65,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
66,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
67,4,Bachelor of Science,F,School of Science,Out of Campus,3,4,1,2.0
68,1,Bachelor of Laws,F,School of Law,Out of Campus,0,1,2,2.0
69,3,Bachelor of Arts,F,School of Foreign College,Out of Campus,1,7,2,2.0
70,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,0,2.0
71,1,Bachelor of Science,M,School of Science,Out of Campus,3,2,2,2.0
72,1,Bachelor of Laws,F,School of Law,Out of Campus,1,1,2,2.0
73,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,4,2,2.0
74,1,Bachelor of Computing,M,School of Computing,Out of Campus,2,3,2,2.0
75,2,Bachelor of Computing,F,School of Computing,Halls,3,8,2,2.0
76,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,1,1,1.0
77,2,Bachelor of Engineering,M,School of Engineering,Halls,3,3,2,2.0
78,3,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,6,1,2.0
79,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,1,2,2.0
80,4,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,3,3,2.0
81,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
